name,state,published,closing
KIMBALL SLAB BRIDGE,"
								West Virginia","
								08/06/2021","
								09/14/2021"
,,,
Metro Wastewater Treatment Plant & Compliance Personnel Training Professional Services,"
								South Carolina","
								08/06/2021","
								09/14/2021"
Barboursville Prk Equestrian Trl,"
								West Virginia","
								08/06/2021","
								09/14/2021"
Housing Choice Voucher Administration,"
								Michigan","
								08/06/2021","
								09/13/2021"
RFP to administer federal Housing Choice Vouchers (Attached),"
								Michigan","
								08/06/2021","
								09/13/2021"
"FIREWORKS ANNUAL CONTRACT FOR CLAYTON COUNTY, GEORGIA","
								Georgia","
								08/06/2021","
								09/13/2021"
STUDENT PLACEMENT SERVICES (REBID),"
								South Carolina","
								08/06/2021","
								09/13/2021"
Remodel of Recorder and Treasurer Office Areas- Melody Lane Complex,"
								Arizona","
								08/06/2021","
								09/10/2021"
RFP_Employee Engagement Survey and Related Service,"
								Minnesota","
								08/06/2021","
								09/10/2021"
removal and Installation of Water Heaters,"
								Massachusetts","
								08/06/2021","
								08/19/2021"
KIHEI NO. 7 FORCE MAIN REPLACEMENT,"
								Hawaii","
								08/06/2021","
								09/09/2021"
"Camp Beauregard UOQ, Camp Beauregard, Pineville, Louisiana","
								Louisiana","
								08/06/2021","
								09/10/2021"
Parking Lot 1A Repaving,"
								Massachusetts","
								08/06/2021","
								09/10/2021"
Refugee School Impact and Adult ESL Programs Consultant,"
								Iowa","
								08/06/2021","
								09/10/2021"
Kihei No. 8 Force Main Replacement,"
								Hawaii","
								08/06/2021","
								09/09/2021"
"PROFESSIONAL ENGINEERING SERVICES FOR LOCAL PRELIMINARY ENGINEERING STUDY, CHADWICK BEACH ISLAND BRIDGE, TOMS RIVER TOWNSHIP","
								New Jersey","
								08/06/2021","
								09/09/2021"
KIHEI NO. 7 FORCE MAIN REPLACEMENT,"
								Hawaii","
								08/06/2021","
								09/09/2021"
Notice Inviting Sealed Bids for Placentia Civic Center Courtyard Trellis Replacement Project,"
								California","
								08/06/2021","
								09/09/2021"
HOME CARE ASSISTANCE SERVICES,"
								California","
								08/06/2021","
								09/09/2021"
Well No. 2 Improvements Project for Shinglehouse WTP,"
								Pennsylvania","
								08/06/2021","
								09/09/2021"
ROOT CONTROL TREATMENT,"
								Virginia","
								08/06/2021","
								09/09/2021"
LEASE OF AGRICULTURE LAND SLOUGHS WMA,"
								Kentucky","
								08/06/2021","
								09/09/2021"
Vehicles: All Types; New/Pre-Owned; Buy/Lease,"
								Texas","
								08/06/2021","
								09/09/2021"
WWTP Headworks Facility Improvements Project,"
								North Carolina","
								08/06/2021","
								09/09/2021"
"WORCESTER UNION STATION ACCESSIBILITY AND INFRASTRUCTURE IMPROVEMENTS,","
								Massachusetts","
								08/06/2021","
								09/09/2021"
Solid Waste/Trash/Refuse/Garbage/etc Collection,"
								Georgia","
								08/06/2021","
								09/09/2021"
North County High School Field House Addition Project,"
								Maryland","
								08/06/2021","
								09/09/2021"
LEAD WATER SERVICE LINE REPLACEMENTS,"
								Illinois","
								08/06/2021","
								09/09/2021"
Kihei No. 8 Force Main Replacement,"
								Hawaii","
								08/06/2021","
								09/09/2021"
"FA Proj , Suffolk Co., Surface Treatment on NY Rte. 114 in the Villages of North Haven & Sag Harbor and the Towns of East Hampton & Southampton.","
								New York","
								08/06/2021","
								09/09/2021"
"Nassau, Suffolk Cos., Highway Runoff Mitigation Project: Various Locations Throughout Nassau and Suffolk Counties, Night Time Work","
								New York","
								08/06/2021","
								09/09/2021"
"Columbia, Dutchess, Orange, Putnam, Rockland, Ulster, Westchester Cos., GRAFFITI REMOVAL - WHERE AND WHEN REGION WIDE. NYSDOT Region-8","
								New York","
								08/06/2021","
								09/09/2021"
"Chemung, Steuben Cos., ELEMENT SPECIFIC BRIDGE REPAIRS I-99 & NY 961A","
								New York","
								08/06/2021","
								09/09/2021"
Mailbox Only - ENGINEERING SERVICES FOR THE BLACKSTONE AVENUE SMART MOBILITY PROJECT BETWEEN SHIELDS AVENUE AND MCKINLEY AVENUE,"
								California","
								08/06/2021","
								09/08/2021"
Paratransit Scheduling and Management System,"
								Colorado","
								08/06/2021","
								09/08/2021"
20210089-R Push-Button Contract for Traffic Signal Improvements - North,"
								Florida","
								08/06/2021","
								09/08/2021"
ARCP Underground Hydronic Piping Upgrades,"
								Kansas","
								08/06/2021","
								08/23/2021"
"MSU Garments, Embroidery and Screen Printing Services","
								Montana","
								08/06/2021","
								09/08/2021"
Acquisition of Real Property Town of Barnstable Police Department Substation,"
								Massachusetts","
								08/06/2021","
								09/08/2021"
Manomet Area Water Main Replacement Project,"
								Massachusetts","
								08/06/2021","
								09/08/2021"
Outdoor Power Circuit Breakers,"
								Missouri","
								08/06/2021","
								09/08/2021"
Consulting Services for Zoning Ordinance Update,"
								Virginia","
								08/06/2021","
								09/08/2021"
Temporary Food Event Services,"
								Florida","
								08/06/2021","
								09/08/2021"
"New Wildland Fire Building, Camp Beauregard, Pineville, Louisiana","
								Louisiana","
								08/06/2021","
								09/08/2021"
BELLEVUE AVE #1600 - 1618 LATERAL SEWER (IR,"
								Missouri","
								08/06/2021","
								09/08/2021"
Acquisition of Real Property via Lease for the Town of Barnstable Police Department Substation,"
								Massachusetts","
								08/06/2021","
								09/08/2021"
North Campus Monument Street Signage,"
								South Carolina","
								08/06/2021","
								09/08/2021"
Citywide Janitorial Services,"
								Florida","
								08/06/2021","
								09/08/2021"
Winwood Park ADA Restroom Construction,"
								Florida","
								08/06/2021","
								09/08/2021"
Identity Governance and Administration Solution,"
								Iowa","
								08/06/2021","
								09/08/2021"
STATUE MAINTENANCE AT THE OCEANFRONT,"
								Virginia","
								08/06/2021","
								09/07/2021"
Bridge Repairs,"
								Pennsylvania","
								08/06/2021","
								09/08/2021"
Coastal Rec USDA Greenhouse Facilities 0 REBID,"
								South Carolina","
								08/06/2021","
								09/08/2021"
"HVAC Repair, Service, and Planned Maint for Trane","
								Georgia","
								08/06/2021","
								09/08/2021"
Train Depot Walking Track Rehabilitation and Expansion Project,"
								Mississippi","
								08/06/2021","
								09/07/2021"
Home Studies and ICPC Case Management,"
								Idaho","
								08/06/2021","
								09/07/2021"
JANITORIAL MAINTENANCE AT THE JACKSON OFFICE BUILDING,"
								Wyoming","
								08/06/2021","
								09/07/2021"
Clairemont Mesa East Pipeline Improvement 1,"
								California","
								08/06/2021","
								09/07/2021"
DOCO Architectural Grant Services,"
								Georgia","
								08/06/2021","
								09/07/2021"
Campbell County School District 3 Year Asbestos Re-Inspection,"
								Wyoming","
								08/06/2021","
								09/07/2021"
Southwest and Commerce Roundabout Project,"
								California","
								08/06/2021","
								09/07/2021"
Sumter County On-Call General Contractor,"
								Florida","
								08/06/2021","
								09/07/2021"
The Allegheny County Transportation Initiative,"
								Pennsylvania","
								08/06/2021","
								09/07/2021"
Lobbying Services - Request for Qualifications,"
								Arizona","
								08/06/2021","
								09/07/2021"
JANITORIAL MAINTENANCE AT THE BITTER CREEK REST AREA,"
								Wyoming","
								08/06/2021","
								09/07/2021"
Multi-Step IFB CD6342A17 - Western Branch WRRF Influent Splitter Box Replacement,"
								Maryland","
								08/06/2021","
								09/06/2021"
Engineering RFQ GEFA,"
								Georgia","
								08/06/2021","
								09/06/2021"
Barry SGA - Shooting Range,"
								Michigan","
								08/06/2021","
								08/19/2021"
Engineering RFQ CDBG,"
								Georgia","
								08/06/2021","
								09/06/2021"
Salt Lake Airport Security Guard Services,"
								Utah","
								08/06/2021","
								09/03/2021"
12.5% LIQUID SODIUM HYPOCHLORITE BULK DELIVERY,"
								California","
								08/06/2021","
								09/03/2021"
Engineering Svcs. for Military Drive P.I. #0017138,"
								Georgia","
								08/06/2021","
								09/03/2021"
Body Scanners,"
								Pennsylvania","
								08/06/2021","
								09/03/2021"
Medium Duty CNG Buses,"
								Texas","
								08/06/2021","
								09/03/2021"
Passenger Bus,"
								Mississippi","
								08/06/2021","
								09/03/2021"
Produce and USDA Food (Commodity Direct Ship) Distribution,"
								Florida","
								08/06/2021","
								09/03/2021"
ELEVATOR / ESCALATOR SYSTEMS MAINTENANCE,"
								Tennessee","
								08/06/2021","
								09/03/2021"
Marketing Consulting Services,"
								New Jersey","
								08/06/2021","
								09/03/2021"
"SPECIAL IMPACT, TACTICAL GAS MUNITIONS & LAUNCHERS","
								California","
								08/06/2021","
								09/03/2021"
DESIGN AND INSTALLATION OF FOUR TRAFFIC POLES & SI,"
								Georgia","
								08/06/2021","
								09/03/2021"
Protective coverings over the existing roof and windows of the former Housatonic School,"
								Massachusetts","
								08/06/2021","
								09/03/2021"
Computer Assisted Legal Research Services,"
								Connecticut","
								08/06/2021","
								09/03/2021"
Laboratory Services,"
								Georgia","
								08/06/2021","
								09/03/2021"
Finlay Park Design Services,"
								South Carolina","
								08/06/2021","
								09/03/2021"
FISCAL YEAR 2021 DODGE COUNTY LMIG SAP PROJECT,"
								Georgia","
								08/06/2021","
								09/03/2021"
2022 Green Infrastructure Upgrades Divisions 1 - 5 - Various MPS Sites,"
								Wisconsin","
								08/06/2021","
								08/26/2021"
"Rehabilitation and repainting of a 200,000 gallon elevated water tank","
								Mississippi","
								08/06/2021","
								09/03/2021"
Northshore Causeway Bridge Guardrail Improvements,"
								Mississippi","
								08/06/2021","
								09/03/2021"
Four-Wheel Drive Extended Cab Pickup Truck,"
								Ohio","
								08/06/2021","
								09/03/2021"
Feasibility study for an indoor recreation facility with aquatics components,"
								Massachusetts","
								08/06/2021","
								09/03/2021"
ODESSA-SCHLEMEYER FIELD,"
								Texas","
								08/06/2021","
								09/02/2021"
ROLL-OFF TRUCK CHASSIS,"
								Utah","
								08/06/2021","
								09/02/2021"
Residential Rehabilitation Services,"
								New Mexico","
								08/06/2021","
								09/02/2021"
"52,000 Plus Pound HOOKLIFT","
								Utah","
								08/06/2021","
								09/02/2021"
SB-90 COST REIMBURSEMENT CLAIMING SERVICES FOR STATE-MANDATED LOCAL PROGRAMS,"
								California","
								08/06/2021","
								09/02/2021"
"Law Firm/Attorney for legal services as: General Counsel including Capital Improvements and Construction, Labor, Tenancy, and Redevelopment","
								New Jersey","
								08/06/2021","
								09/02/2021"
Algiers Courthouse Parking Lot and Miscellaneous Repairs,"
								Louisiana","
								08/06/2021","
								09/02/2021"
NOFD Communications Building Renovations,"
								Louisiana","
								08/06/2021","
								09/02/2021"
Hazardous Waste Disposal Services,"
								Louisiana","
								08/06/2021","
								09/02/2021"
Job Order Contracting - Area 3,"
								New York","
								08/06/2021","
								09/01/2021"
"Upper Lemhi Enhancement Project, Upper Phase, Planting and Fencing Project","
								Idaho","
								08/06/2021","
								08/31/2021"
,,,
Nyssa Court Apartments Rehabilitation,"
								Oregon","
								08/06/2021","
								08/30/2021"
Tandem Axle Dump Truck,"
								Vermont","
								08/06/2021","
								08/23/2021"
Tandem Axle Body Build,"
								Vermont","
								08/06/2021","
								08/23/2021"
EQUIPMENT FUEL SUPPLY,"
								Idaho","
								08/06/2021","
								08/20/2021"
I-65 Utility Extensions Division C Contracts 1 & 2,"
								Indiana","
								08/06/2021","
								08/20/2021"
Annual Road Base Bid,"
								Texas","
								08/06/2021","
								08/19/2021"
Park Cleaning Bid,"
								Texas","
								08/06/2021","
								08/19/2021"
"Designing, constructing, operating, transferring, and developing of upgrades to the utility infrastructure","
								Indiana","
								08/06/2021","
								08/19/2021"
"DYED DIESEL FUEL: 20,000 (+ OR-) TO BE BILLED ONCE A MONTH","
								Idaho","
								08/06/2021","
								08/16/2021"
Architectural Services,"
								Oregon","
								08/06/2021","
								08/26/2021"
"LOT CLEARING SERVICES, TERM CONTRACT","
								Florida","
								08/06/2021","
								08/25/2021"
RFB 09022021 AGRICULTURE LAND LEASE AT BIG RIVERS WMA,"
								Kentucky","
								08/05/2021","
								09/02/2021"
Glen Wilton Wastewater Plant – Repair and Paint the EQ and Sludge Basins,"
								Virginia","
								08/05/2021","
								09/02/2021"
Storm Water Repair and Improvement FY 2022-B,"
								North Carolina","
								08/05/2021","
								09/02/2021"
PRE-ENGINEERED METAL BUILDING,"
								Florida","
								08/05/2021","
								09/02/2021"
Compensation Consulting Services,"
								California","
								08/05/2021","
								09/02/2021"
Purchase and Installation of Well Pump and Motor,"
								Florida","
								08/05/2021","
								09/02/2021"
US 41 Landscape & Irrigation Maintenance Project,"
								Florida","
								08/05/2021","
								09/02/2021"
Braintree South Middle School Prequalified General Contractors and Trade Contractors,"
								Massachusetts","
								08/05/2021","
								09/02/2021"
"Poinciana Service Area Utility Construction Neighborhood 2 West, Village 7","
								Florida","
								08/05/2021","
								09/02/2021"
Building Renovation- GLCPS Convent Renovation Project,"
								Massachusetts","
								08/05/2021","
								09/02/2021"
Cloud-Based CRM & Early Alert System,"
								Pennsylvania","
								08/05/2021","
								09/02/2021"
Sewer System Improvements,"
								Mississippi","
								08/05/2021","
								09/02/2021"
Johnston Avenue Road Improvements,"
								New Jersey","
								08/05/2021","
								09/02/2021"
WEST RANKIN UTILITY AUTHORITY REFUGE METERING STATION & CONNECTOR,"
								Mississippi","
								08/05/2021","
								09/02/2021"
Park District's playground improvements at Nordic Park,"
								Illinois","
								08/05/2021","
								09/02/2021"
Kenner FEMA Street Renovations,"
								Louisiana","
								08/05/2021","
								09/02/2021"
Kenner FEMA Street Renovations,"
								Louisiana","
								08/05/2021","
								09/02/2021"
WPO EMERGENCY GENERATOR FUEL SYSTEM UPGRADE,"
								New York","
								08/05/2021","
								09/02/2021"
South Kohala Priority Watershed Coordination,"
								Hawaii","
								08/05/2021","
								09/01/2021"
JANITORIAL SERVICES,"
								Florida","
								08/05/2021","
								09/02/2021"
Temperature Controls Remod & Rehab,"
								Illinois","
								08/05/2021","
								09/01/2021"
Carpet Cleaning Service - Various City of Raleigh Facilities,"
								North Carolina","
								08/05/2021","
								09/01/2021"
Filter Media Replacement Project,"
								California","
								08/05/2021","
								09/01/2021"
Construction Job Notice: Academics Bid Package at Skyline High,"
								Utah","
								08/05/2021","
								09/01/2021"
Outpatient Therapy,"
								New Jersey","
								08/05/2021","
								09/01/2021"
Clothing Label System Supplies,"
								Missouri","
								08/05/2021","
								09/01/2021"
Bus System Rebranding - Phase II,"
								Florida","
								08/05/2021","
								09/01/2021"
Swift Window Replacement,"
								New Jersey","
								08/05/2021","
								09/01/2021"
Salisbury Regional Airport Rental Car REBID,"
								Maryland","
								08/05/2021","
								09/01/2021"
Audit Services,"
								Illinois","
								08/05/2021","
								09/01/2021"
PMO Consultant,"
								Wisconsin","
								08/05/2021","
								09/08/2021"
On-Demand Engineering Services,"
								Georgia","
								08/05/2021","
								09/01/2021"
Well Certification and Closing Services,"
								New Jersey","
								08/05/2021","
								09/01/2021"
Alarm Monitoring Services (RFP),"
								North Carolina","
								08/05/2021","
								09/01/2021"
K-101-220-003 D-Block Door Replacement @ MTC,"
								Maryland","
								08/05/2021","
								09/01/2021"
City of Zeeland Irrigation Bids,"
								Michigan","
								08/05/2021","
								08/24/2021"
Alarm Maintenance Service,"
								North Carolina","
								08/05/2021","
								09/01/2021"
Utilities Architectural/Engineering,"
								Virginia","
								08/05/2021","
								09/01/2021"
SEWER (PHASE III) IMPROVEMENTS,"
								Washington","
								08/05/2021","
								09/01/2021"
On-Demand Engineering,"
								Georgia","
								08/05/2021","
								09/01/2021"
"Water Quality Analyzer Calibration, Maintenance and Repairs","
								Texas","
								08/05/2021","
								09/01/2021"
Motor Coach/ Charter Bus Services,"
								Kentucky","
								08/05/2021","
								08/25/2021"
Renovation for Online Learning at FSC,"
								Colorado","
								08/05/2021","
								09/02/2021"
Pavement Marking and Striping,"
								California","
								08/05/2021","
								08/19/2021"
DARE COUNTY DETENTION CENTER IP CAMERA RFP,"
								North Carolina","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 4,"
								New York","
								08/05/2021","
								09/01/2021"
Optimizing Water Distribution System Disinfectant Residuals - Engineering Services,"
								Nebraska","
								08/05/2021","
								09/01/2021"
Meter Data Test Tool (MDTT) Solution,"
								Washington","
								08/05/2021","
								09/01/2021"
ICE MELT,"
								Maryland","
								08/05/2021","
								09/01/2021"
Airfield Marking Rehabilitation for the Jack Brooks Regional Airport,"
								Texas","
								08/05/2021","
								09/01/2021"
Office Renovation Project - 1364 N. Watkins,"
								Tennessee","
								08/05/2021","
								09/01/2021"
Street Tree Planting w/2-Year Maintenance & Warranty Fall 2021 & Spring 2022,"
								Maryland","
								08/05/2021","
								09/01/2021"
Street Tree Nursery Stock,"
								Maryland","
								08/05/2021","
								09/01/2021"
Safety Supplies - Annual Contract,"
								Georgia","
								08/05/2021","
								09/01/2021"
Restoration-Grade Nursery Stock,"
								Maryland","
								08/05/2021","
								09/01/2021"
Cal-Sag Steel Truss Strengthening,"
								Illinois","
								08/05/2021","
								09/01/2021"
Hall Bridge Replacement,"
								Maine","
								08/05/2021","
								09/01/2021"
Wall Plaza Renovation,"
								Massachusetts","
								08/05/2021","
								09/01/2021"
87th Street Bridge over B&OCT RR South 78th Avenue to South Oketo Avenue County Highway - B42 Palos Township,"
								Illinois","
								08/05/2021","
								09/01/2021"
PROSPECT STREET REHABILITATION AND IMPROVEMENTS,"
								Connecticut","
								08/05/2021","
								09/01/2021"
"Various Types of Grass Seeds, Fertilizer","
								Georgia","
								08/05/2021","
								09/01/2021"
MOTORS,"
								New York","
								08/05/2021","
								09/01/2021"
Corrugated HDPE Pipe - Annual Contract,"
								Georgia","
								08/05/2021","
								09/01/2021"
Contract to Supply Building Materials,"
								Louisiana","
								08/05/2021","
								09/01/2021"
RIDGEWOOD WATER PFAS TREATMENT DESIGNS – TWINNEY TREATMENT FACILITY,"
								New Jersey","
								08/05/2021","
								09/01/2021"
"Contract to Supply Sign Poles, Brackets, and Misc.","
								Louisiana","
								08/05/2021","
								09/01/2021"
"Removal, Replacement and Disposal of Carbon in Dryer Facility Odor Control Absorbers","
								New Jersey","
								08/05/2021","
								08/24/2021"
SANITARY SEWER SMALL DIAMETER LINES REPLACEMENT,"
								California","
								08/05/2021","
								09/01/2021"
Stone and Roddey Pavilions - Medical Records Kiosks Additions Revised 8/4/21,"
								South Carolina","
								08/05/2021","
								08/26/2021"
Labor and Materials to Test and Treat District Distribution and Fiber Poles in 2021-2022,"
								Washington","
								08/05/2021","
								08/31/2021"
STRATFORD ROAD COMPLETION REBID,"
								Washington","
								08/05/2021","
								08/17/2021"
Route 202A Water Main Extension and Storage Tank Project,"
								New Hampshire","
								08/05/2021","
								09/01/2021"
Little Killbuck Creek Aquatic Invasive Species Barrier,"
								Ohio","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 4,"
								New York","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 8,"
								New York","
								08/05/2021","
								09/01/2021"
2021 Request for Proposal Golf Cart Lease,"
								Ohio","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 4,"
								New York","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 4,"
								New York","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 7,"
								New York","
								08/05/2021","
								09/01/2021"
205 St. Clair Finance Building Exterior Improvements Phase 2,"
								Ohio","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 6,"
								New York","
								08/05/2021","
								09/01/2021"
Job Order Contracting - Area 5,"
								New York","
								08/05/2021","
								09/01/2021"
RFP - Background Investigation Services and Training Coordination,"
								California","
								08/05/2021","
								08/31/2021"
Newspaper Legal Notice Services,"
								California","
								08/05/2021","
								08/31/2021"
Security Guard Services,"
								California","
								08/05/2021","
								08/31/2021"
Telemedicine Services forthe Public Employees’ Benefits Program,"
								Nevada","
								08/05/2021","
								08/31/2021"
Consultant Services for The Corporate and Workforce Development Division of Florence-Darlington Technical College,"
								South Carolina","
								08/05/2021","
								08/31/2021"
OUTDOOR WATER EFFICIENCY AND CONSULTATION PROGRAM,"
								Arizona","
								08/05/2021","
								08/31/2021"
Storm Water Repair and Improvement FY2022-A,"
								North Carolina","
								08/05/2021","
								08/31/2021"
,,,
Grounds Maintenance,"
								Texas","
								08/05/2021","
								08/31/2021"
Outdoor Stage for Christmas in the Sky,"
								Missouri","
								08/05/2021","
								08/31/2021"
Engineering Services Contract for the SDA and the WNYNSC (RFP 4674),"
								New York","
								08/05/2021","
								08/31/2021"
LED Message Signs,"
								Georgia","
								08/05/2021","
								08/31/2021"
Tuck Pointing and Exterior Repairs,"
								Florida","
								08/05/2021","
								08/31/2021"
Professional Services,"
								Washington","
								08/05/2021","
								08/31/2021"
Workforce Development,"
								Connecticut","
								08/05/2021","
								08/31/2021"
Youth and Educational Programming/Services within the City of Bridgeport,"
								Connecticut","
								08/05/2021","
								08/31/2021"
Bridgeport Small Business Storefront Improvement Program...,"
								Connecticut","
								08/05/2021","
								08/31/2021"
FDC Wakulla Correctional Institution Dorm Renovations & New Medical Addition and Renovations,"
								Florida","
								08/05/2021","
								08/31/2021"
Design of a new administration building at our Waste Water Treatment Building,"
								Massachusetts","
								08/05/2021","
								08/31/2021"
Northern Dare County Beach Nourishment,"
								North Carolina","
								08/05/2021","
								08/31/2021"
"Domestic Violence, Mental Health, and Addiction Services","
								Connecticut","
								08/05/2021","
								08/31/2021"
Station 117 Exterior Signage,"
								Utah","
								08/05/2021","
								08/31/2021"
"Construction of a new gravel access road, drinking water well field area and pump house driveway though wooded and hilly terrain on a Town of Charlton owned parcel off Gale Road in Charlton MA","
								Massachusetts","
								08/05/2021","
								08/31/2021"
Annual Clear Board & Seal,"
								Florida","
								08/05/2021","
								08/30/2021"
"Construction of a new gravel access road, drinking water well field area and pump house driveway though wooded and hilly terrain on a Town of Charlton owned parcel off Gale Road in Charlton MA","
								Massachusetts","
								08/05/2021","
								08/31/2021"
Sheriff Admin. Morgue Roof Project,"
								California","
								08/05/2021","
								08/31/2021"
ELECTRONICS RECYCLING SERVICES,"
								Michigan","
								08/05/2021","
								08/31/2021"
College Entrance Preparatory Program During the School Day,"
								New Jersey","
								08/05/2021","
								08/31/2021"
Ford F550 Dump Truck,"
								Florida","
								08/05/2021","
								08/31/2021"
Annual Commercial and Fire Backflow Inspection Services,"
								Tennessee","
								08/05/2021","
								08/31/2021"
ENGLISH LEARNERS LANGUAGE (ELL) DATA MANAGEMENT SYSTEM,"
								New Jersey","
								08/05/2021","
								08/31/2021"
"2021 East Oak, Stonehouse, Crown Court, and Rebel Hill Infiltration & Inflow Implementation Project - Phase I","
								New Jersey","
								08/05/2021","
								08/31/2021"
Computer Hardware & Software Maintenance,"
								New Jersey","
								08/05/2021","
								08/31/2021"
Plumbing Services,"
								New Jersey","
								08/05/2021","
								08/31/2021"
Main Lift Pumps and Equalization Pumps Upgrade Project ELECTRICAL CONSTRUCTION,"
								Pennsylvania","
								08/05/2021","
								08/31/2021"
Center for Precision Manufacturing,"
								Ohio","
								08/05/2021","
								08/31/2021"
Adams County Property/Evidence Processing Facility (Othello),"
								Washington","
								08/05/2021","
								08/30/2021"
"HPE Enterprise Computers, Servers and Related Products and Services","
								Arizona","
								08/05/2021","
								08/31/2021"
Environmental and Engineering Services for Turtle Bay Boat Ramp Improvement Project,"
								California","
								08/05/2021","
								08/30/2021"
Cleaning sewer pump station wet wells,"
								Massachusetts","
								08/05/2021","
								08/30/2021"
Accounting Services,"
								Vermont","
								08/05/2021","
								08/30/2021"
Asphalt Mill and Overlay,"
								Wisconsin","
								08/05/2021","
								08/30/2021"
Street Improvements DR 4263 PW 910 Paved Roads Task Order #3,"
								Louisiana","
								08/05/2021","
								08/30/2021"
Third Party Administrator for Workers Compensation Claims,"
								West Virginia","
								08/05/2021","
								08/30/2021"
CIP Project 1B Rehabilitations,"
								Massachusetts","
								08/05/2021","
								08/26/2021"
Demolition and Removal of Structures on County Property,"
								Tennessee","
								08/05/2021","
								08/30/2021"
Resident Self-Service Kiosks Lumley Homes A & B / Robinson Tower / Comstock Court / Asbury Park Vill,"
								New Jersey","
								08/05/2021","
								08/30/2021"
Purchase of Large Equipment for School Nutrition Program,"
								Georgia","
								08/05/2021","
								08/30/2021"
EDWARDS-WILSON CENTER SITE PROJECT,"
								Virginia","
								08/05/2021","
								08/27/2021"
Stop Loss Insurance,"
								Florida","
								08/05/2021","
								08/27/2021"
Community Needs Assessment,"
								Maine","
								08/05/2021","
								08/29/2021"
2015-2023 General Plan Housing Element Update,"
								California","
								08/05/2021","
								08/27/2021"
SJSU Advertising and Marketing Services,"
								California","
								08/05/2021","
								08/27/2021"
St. Helena Opinion Research Solicitation,"
								California","
								08/05/2021","
								08/20/2021"
Locomotive Cranes,"
								Illinois","
								08/05/2021","
								08/27/2021"
Construction Manager at Risk Lenexa Justice Center,"
								Kansas","
								08/05/2021","
								08/27/2021"
Commissioning Services,"
								Maryland","
								08/05/2021","
								08/27/2021"
Collision Avoidance Systems Pilot ProgramRequest for Quotation (RFQ),"
								Georgia","
								08/05/2021","
								08/27/2021"
DNR Fall Tree Planting Contract - Pacific Cascade Region,"
								Washington","
								08/05/2021","
								08/26/2021"
Collision Avoidance Systems Pilot Program,"
								Georgia","
								08/05/2021","
								08/27/2021"
IFB for Security Perimeter Fencing at SSWWTF,"
								Massachusetts","
								08/05/2021","
								08/27/2021"
TUTORING SERVICES,"
								Texas","
								08/05/2021","
								08/27/2021"
Nebo Water System Expansion Project,"
								North Carolina","
								08/05/2021","
								08/27/2021"
Federal Governmental Consulting Services,"
								Florida","
								08/05/2021","
								08/27/2021"
INDEPENDENT REGISTERED MUNICIPAL ADVISOR,"
								California","
								08/05/2021","
								08/26/2021"
JANITORIAL MAINTENANCE AT THE WORLAND OFFICE BUILDING,"
								Wyoming","
								08/05/2021","
								08/26/2021"
East Region District Office Fence Project,"
								Oregon","
								08/05/2021","
								08/26/2021"
DIABLO CREEK MAINTENANCE BUILDING FIRE REPAIR,"
								California","
								08/05/2021","
								08/26/2021"
"Heating, Ventilation, and Air Conditioning (HVAC) Equipment Servicing and Repairs in Butte, Colusa, El Dorado, Glenn, Nevada, Placer, Sacramento, Sierra, Sutter, Yolo, and Yuba Counties.","
								California","
								08/05/2021","
								08/26/2021"
Sewer Outfall Replacement,"
								Washington","
								08/05/2021","
								08/26/2021"
Sewer Outfall Replacement,"
								Washington","
								08/05/2021","
								08/26/2021"
Refugee Program - Health Promotion,"
								Arizona","
								08/05/2021","
								08/26/2021"
Laboratory Testing and Services and Testimony Services,"
								Illinois","
								08/05/2021","
								08/26/2021"
Design Services for Road Department Maintenance Building Addition,"
								Florida","
								08/05/2021","
								08/26/2021"
2022 Green Infrastructure Upgrades Div. 1-5,"
								Wisconsin","
								08/05/2021","
								08/26/2021"
RFQ - Lot Cleaning 1886 Frankie Ave,"
								North Carolina","
								08/05/2021","
								08/26/2021"
Purchase of supplies and materials,"
								Mississippi","
								08/05/2021","
								08/26/2021"
Annual Contract for Street Sweeping,"
								Texas","
								08/05/2021","
								08/26/2021"
ITS Enhancement Phase II Traffic Signal Upgrade,"
								Georgia","
								08/05/2021","
								08/26/2021"
ENTERPRISE RESOURCE PLANNING (ERP) PROJECT MANAGEMENT SERVICES,"
								Minnesota","
								08/05/2021","
								08/26/2021"
2021-ROAD SALT TREATED ONLY WITH CALCIUM CHLORIDE and OBPE,"
								Connecticut","
								08/05/2021","
								08/26/2021"
Western Gwinnett Pathway Extension Pedestrian Improvement Project,"
								Georgia","
								08/05/2021","
								08/26/2021"
Small Diameter Sewer Cleaning Services,"
								Texas","
								08/05/2021","
								08/26/2021"
State Street Resurfacing FY 21/22,"
								South Carolina","
								08/05/2021","
								08/26/2021"
City Street Resurfacing FY 21/22,"
								South Carolina","
								08/05/2021","
								08/26/2021"
NOTICE TO BIDDERS For the Construction of the FY2022 Center for the Arts Parking Improvements (Phase 2) for the City of Waterloo Iowa,"
								Iowa","
								08/05/2021","
								08/26/2021"
