name,Location,Publishing Date,Closing Date
HMA Resurfacing Rotunda Drive,"
								Michigan","
								08/03/2021","
								08/24/2021"
Cooper Ave Pedestrian Improvements in Cooperation with Covenant Healthcare,"
								Michigan","
								08/03/2021","
								08/17/2021"
Pneumatics Servicing,"
								New York","
								08/03/2021","
								08/25/2021"
Pomona Park Irrigation Pipe & Supplies,"
								Colorado","
								08/03/2021","
								08/25/2021"
"FB 21-357: New, Unused BMW R 1250 RT-P Police Motorcycles","
								Idaho","
								08/03/2021","
								08/18/2021"
"Final Settlement - Campus Generators - PowerSecure, Inc.","
								Colorado","
								08/03/2021","
								08/15/2021"
"Final Settlement - Remediate Campus Fall Hazards - AGS Construction, Inc.","
								Colorado","
								08/03/2021","
								08/15/2021"
HEADSETS,"
								Michigan","
								08/03/2021","
								08/17/2021"
Library New IP/Cloud Based Phone System,"
								Michigan","
								08/03/2021","
								08/31/2021"
2021 Local Street Improvement Project,"
								Michigan","
								08/03/2021","
								08/26/2021"
Asbestos Abatement Services,"
								New York","
								08/03/2021","
								09/07/2021"
Construction Material Testing,"
								New York","
								08/03/2021","
								08/31/2021"
2022 - 2023 Street Tree Planting,"
								Michigan","
								08/03/2021","
								08/31/2021"
RFQ 21-421: Library Strategic Planning – Consulting Services,"
								Idaho","
								08/03/2021","
								09/01/2021"
Allen Water Treatment Plant South Reservoir Dredging Project,"
								Colorado","
								08/03/2021","
								08/31/2021"
UTILITY BILLING SYSTEM AND IMPLEMENTATION,"
								Rhode Island","
								08/03/2021","
								09/13/2021"
Indian Peaks Clubhouse Siding Replacement 2021,"
								Colorado","
								08/03/2021","
								09/07/2021"
,,,
Indian Peaks Golf Course Pergola Replacement and Repairs,"
								Colorado","
								08/03/2021","
								09/07/2021"
Floor Mat Rental/Exchange - Citywide,"
								New York","
								08/03/2021","
								08/16/2021"
HOPE STREET SIDEWALK REPAIR PROJECT,"
								Rhode Island","
								08/03/2021","
								08/18/2021"
UV WATER TREATMENT EQUIPMENT,"
								New York","
								08/03/2021","
								08/18/2021"
WWTP Backwash Pump,"
								Michigan","
								08/03/2021","
								08/26/2021"
CITY OF HOLLAND 3RD FLOOR RENOVATION OF CITY HALL,"
								Michigan","
								08/03/2021","
								08/26/2021"
Fire Extinguisher Maintenance and Sprinkler/Suppression System Inspections,"
								Michigan","
								08/03/2021","
								08/24/2021"
Wayfinding Signage Design Services,"
								Oklahoma","
								08/03/2021","
								09/14/2021"
Employee Assistance Program (EAP) Services,"
								Michigan","
								08/03/2021","
								09/01/2021"
Printing and Mailing of City Recreation Brochure/Newsletter,"
								Michigan","
								08/03/2021","
								08/19/2021"
Request for Statement Of Qualifications For Shared Use Path Improvements Project,"
								Colorado","
								08/03/2021","
								08/24/2021"
"2,000 Gallon Cylindrical Storage Tank & Accessories","
								New York","
								08/03/2021","
								08/19/2021"
Snow Plowing Services,"
								Rhode Island","
								08/03/2021","
								08/19/2021"
Vactor Maintenance & Parts,"
								Michigan","
								08/03/2021","
								08/17/2021"
"John Humphrey Dr./143rd Street Intersection, Phase II Design Engineering Service","
								Illinois","
								08/03/2021","
								08/24/2021"
Identity & Access Management Program,"
								Colorado","
								08/03/2021","
								09/17/2021"
Department of Public Works Roof Replacement,"
								Michigan","
								08/03/2021","
								08/24/2021"
Provide Pest Control Services as Specified,"
								New York","
								08/03/2021","
								09/09/2021"
Provide Industrial Laundry Services as Specified,"
								New York","
								08/03/2021","
								08/17/2021"
Propane for the Dearborn Ice Skating Center,"
								Michigan","
								08/03/2021","
								08/18/2021"
Food Products and Services for Culinary Arts Program at Emily Griffith Technical,"
								Colorado","
								08/03/2021","
								09/03/2021"
Martin Flushing Improvements,"
								Michigan","
								08/02/2021","
								08/25/2021"
Trash Maintenance & General Cleaning Services of Bus Stops REBID,"
								California","
								08/02/2021","
								09/01/2021"
37th St & 2 Rivers Parkway,"
								Colorado","
								08/02/2021","
								08/23/2021"
"Offender Monitoring Products, Services, and Solutions","
								Colorado","
								08/02/2021","
								09/02/2021"
Inmate Food Services,"
								Florida","
								08/02/2021","
								09/08/2021"
Engineering Services for Sludge Dewatering Project,"
								New York","
								08/02/2021","
								09/09/2021"
Class 6 Refrigerated Box Truck,"
								Colorado","
								08/02/2021","
								08/23/2021"
Broadband Feasibility and Needs Assessment Study,"
								Colorado","
								08/02/2021","
								08/27/2021"
Natural Gas Supplier/Transporter,"
								Colorado","
								08/02/2021","
								08/25/2021"
Redevelopment of .39 Acres of Land,"
								Colorado","
								08/02/2021","
								08/31/2021"
Wildfire Partners Hazardous Fuels Reduction – County Road 116 Version 2,"
								Colorado","
								08/02/2021","
								08/18/2021"
ITB 4193 - 300-302 E. Ashman Poured Concrete Foundation Re-Bid,"
								Michigan","
								08/02/2021","
								08/17/2021"
Furnish & Deliver Sodium Hypochlorite Solution to Various Pumping Stations,"
								New York","
								08/02/2021","
								08/23/2021"
ITB 4192 - 300-302 E Ashman Concrete,"
								Michigan","
								08/02/2021","
								08/17/2021"
ITB 4191 - 300-302 E Ashman Electrical,"
								Michigan","
								08/02/2021","
								08/17/2021"
Holland and Semloh Street Water Main Extension,"
								Michigan","
								08/02/2021","
								08/24/2021"
Helen Park Improvements,"
								Michigan","
								08/02/2021","
								08/17/2021"
Hazardous Waste Disposal,"
								Michigan","
								08/02/2021","
								08/31/2021"
Traffic Control Services,"
								Colorado","
								08/02/2021","
								08/18/2021"
Grant Management,"
								Colorado","
								08/02/2021","
								08/18/2021"
Lowry Environmental Site Assessment,"
								Colorado","
								08/02/2021","
								09/02/2021"
Vacant Property Redevelopment 230 South 5th Street,"
								Colorado","
								08/02/2021","
								08/24/2021"
Enterprise Resource Planning (ERP) Consultant,"
								Colorado","
								08/02/2021","
								09/10/2021"
"REFLECTIVE SHEETING, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/02/2021","
								08/17/2021"
RFQ 22-01 Fiber Optic Cable Project Management and Installation,"
								Colorado","
								08/02/2021","
								08/16/2021"
TENABLE VULNERABILITY MANAGEMENT SUITE,"
								Rhode Island","
								08/02/2021","
								08/16/2021"
RUCKUS SWITCH HARDWARE,"
								Rhode Island","
								08/02/2021","
								08/30/2021"
ACTUARY SERVICES FY 2022-2044,"
								Rhode Island","
								08/02/2021","
								08/30/2021"
2022 FALL  STREET TREE PLANTING,"
								Rhode Island","
								08/02/2021","
								08/30/2021"
CDBH FY 2020 SIDEWALK IMPROVEMENTS,"
								Rhode Island","
								08/02/2021","
								08/30/2021"
"DESIGN BUILDER FOR WINDMILL ELEMENTARY SCHOOL 110 PAUL ST, PROVIDENCE","
								Rhode Island","
								08/02/2021","
								08/30/2021"
Gun Range Restoration,"
								Florida","
								08/02/2021","
								08/24/2021"
Federal Real Estate Consulting,"
								Maryland","
								08/02/2021","
								09/07/2021"
Request for Proposals for Travel Demand Model Update,"
								Colorado","
								08/02/2021","
								09/10/2021"
2021 Sidewalk Program,"
								Michigan","
								08/02/2021","
								08/18/2021"
Annual Supply Contract for Bagged Type I or Type IL Portland Cement,"
								Texas","
								08/02/2021","
								08/18/2021"
2466 D L Drive Single Family Home Rehabilitation,"
								South Carolina","
								08/02/2021","
								08/31/2021"
Security Guard Services,"
								Michigan","
								08/02/2021","
								08/30/2021"
Mobile Office Trailer Rent/Lease,"
								Colorado","
								08/02/2021","
								08/24/2021"
Columbia St Phase II - Sewer Separation and Green Infrastructure,"
								New York","
								08/02/2021","
								09/03/2021"
COMMUNICATIONS CONSULTANT - Next Generation 911 System Development and Implement,"
								Michigan","
								08/02/2021","
								08/26/2021"
Restorative Justice Program,"
								Colorado","
								08/02/2021","
								08/31/2021"
Purchase of One (1) All-Terrain Tracked Vehicle for Horry County Stormwater Dept,"
								South Carolina","
								08/02/2021","
								08/16/2021"
City of Fort Collins - Innovation Programming Study for New Community Center,"
								Colorado","
								08/02/2021","
								08/23/2021"
Furnish & Deliver Automatic Blowoff Control Panels,"
								New York","
								08/02/2021","
								08/20/2021"
Uniform Cleaning - Police & Fire,"
								Michigan","
								08/02/2021","
								08/17/2021"
Arapahoe/Clarkson Traffic Signal Design,"
								Colorado","
								08/02/2021","
								08/24/2021"
Solid Waste Facility Cell 3 Leachate Recirculation,"
								Alaska","
								08/02/2021","
								09/01/2021"
Synthetic Putting Green,"
								Michigan","
								08/02/2021","
								08/23/2021"
FULL SIZE CARGO VANS,"
								New York","
								08/02/2021","
								08/18/2021"
Library District Advisory Committee Facilitation Support,"
								Colorado","
								08/02/2021","
								08/16/2021"
Spherical Projection Display System,"
								Texas","
								08/02/2021","
								08/25/2021"
West Bloomfield Printing & Mailing For Tax Staements and Assessment & Water - Se,"
								Michigan","
								08/02/2021","
								08/17/2021"
Papp Park Pavilion Concrete Replacement,"
								Michigan","
								08/02/2021","
								08/16/2021"
Leachate Line Cleaning & Sump Chamber Pumping,"
								New York","
								08/02/2021","
								08/24/2021"
"Removal, Supply and Install Two (2) Seventy-five (75) Gallon Water Heaters","
								Florida","
								08/02/2021","
								08/18/2021"
Taylor Recreation Center Locker Rooms & Front Desk,"
								Michigan","
								08/02/2021","
								08/23/2021"
Emergency Snow Removal,"
								Michigan","
								08/02/2021","
								09/01/2021"
Taylor Parks and Recreation Disc Golf,"
								Michigan","
								08/02/2021","
								08/23/2021"
Winter Park Ice Rink,"
								Michigan","
								08/02/2021","
								09/01/2021"
Tables and Chair and Tent Rental Services,"
								New York","
								08/02/2021","
								08/23/2021"
Apple iPads,"
								North Carolina","
								08/02/2021","
								08/17/2021"
Winter Park Lighted Tubing Hill,"
								Michigan","
								08/02/2021","
								09/01/2021"
"Glycol Removal and Transport, Westchester County Airport","
								New York","
								08/02/2021","
								08/25/2021"
Medical and Nursing Supplies and Equipment,"
								New York","
								08/02/2021","
								08/17/2021"
City of Taylor Streetlight Replacement Parts,"
								Michigan","
								08/02/2021","
								08/16/2021"
EMT Program Supplies (SY22),"
								Rhode Island","
								08/02/2021","
								08/25/2021"
Bluewater Bay Municipal Services Benefit Unit-Supplemental Landscape Maintenance,"
								Florida","
								08/02/2021","
								08/24/2021"
HEALTH CARE BENEFITS,"
								Michigan","
								08/02/2021","
								09/14/2021"
Restoration of the Vail Factory Wheelhouse at Historic Speedwell Avenue,"
								New Jersey","
								08/02/2021","
								08/31/2021"
Investment Consultant for PFRS,"
								Michigan","
								08/02/2021","
								09/13/2021"
2021-22 School Year Student Transportation RN 5 Boces to Clear View,"
								New York","
								08/02/2021","
								08/16/2021"
DRAPER HOUSTON BOARDWALK RECONSTRUCTION,"
								Michigan","
								08/01/2021","
								09/02/2021"
Library Park Site Improvements,"
								Colorado","
								07/30/2021","
								08/17/2021"
ORANGEBURG COUNTY RECONNECT PHASE I,"
								South Carolina","
								07/30/2021","
								08/20/2021"
Paving and Chipseal,"
								Colorado","
								07/30/2021","
								08/20/2021"
Timber Sale,"
								South Carolina","
								07/30/2021","
								08/16/2021"
Preparation of Traffic Signal Design Planning and Engineering Services,"
								Texas","
								07/30/2021","
								08/20/2021"
"Hutchinson Valley Trunk Sewer Rehabilitation, Hutchinson Valley,Eastchester,N.Y.","
								New York","
								07/30/2021","
								09/01/2021"
,,,
AS NEEDED IN-HOUSE CHEMICAL OR PESTICIDES - AQUATIC WEED - MULTI YEAR AWARD,"
								Florida","
								07/30/2021","
								08/16/2021"
ADA Eligibility Consultant and Travel Training,"
								Colorado","
								07/30/2021","
								09/08/2021"
Promenade Drive,"
								Colorado","
								07/30/2021","
								08/19/2021"
CAROUSEL STABILIZATION PROJECT,"
								Rhode Island","
								07/30/2021","
								08/27/2021"
FIREWORKS DISPLAY FOR JULY 2022,"
								Rhode Island","
								07/30/2021","
								09/01/2021"
12-Month Supply of Chemicals,"
								Texas","
								07/30/2021","
								08/17/2021"
"ARCHITECTURAL AND ENGINEERING SERVICES, SWIFT GULCH EMPLOYEE HOUSING PROJECT","
								Colorado","
								07/30/2021","
								09/03/2021"
Moving and Installation Services,"
								Colorado","
								07/30/2021","
								07/29/2022"
Municipal Solid Waste & Recycling Services,"
								New York","
								07/30/2021","
								08/25/2021"
Furnish and Install Drake TNGG Pre-engineered Shop-fabricated Metal Building,"
								Colorado","
								07/30/2021","
								08/20/2021"
WWTP Main Building Hoist Replacement,"
								Michigan","
								07/30/2021","
								08/25/2021"
Real Estate Services,"
								Michigan","
								07/30/2021","
								08/27/2021"
3-21 (SW) 2021 CONCRETE SIDEWALK PROGRAM,"
								Michigan","
								07/30/2021","
								08/17/2021"
25th Avenue Pedestrian Boulevard Construction,"
								Colorado","
								07/30/2021","
								08/20/2021"
Printing and Mailing of Utility Bills,"
								Rhode Island","
								07/30/2021","
								08/23/2021"
"DRCFA FFE RFP No. 3 - Cocktail Tables, Banquet Tables and Transport Carts","
								Michigan","
								07/30/2021","
								08/19/2021"
Medium and Low Voltage Motor Control Centers,"
								Colorado","
								07/30/2021","
								08/30/2021"
Financing for Gateway Apartments,"
								Colorado","
								07/30/2021","
								08/20/2021"
Electronic Health Record Consulting for Niagara County DMH,"
								New York","
								07/30/2021","
								08/31/2021"
Pest Control Services for Cobb County Government Facilities,"
								Georgia","
								07/30/2021","
								08/26/2021"
Nesbitt Union Chapel Steel Framing,"
								Georgia","
								07/30/2021","
								08/26/2021"
Parking Operations Management Services,"
								Rhode Island","
								07/30/2021","
								08/24/2021"
"CSP 21-025 Cemetery Maintenance Services for the City of New Braunfels, TX","
								Texas","
								07/30/2021","
								08/20/2021"
Managed IT Service Request for Proposal,"
								Michigan","
								07/30/2021","
								08/27/2021"
Community Schools Framework,"
								Colorado","
								07/30/2021","
								08/20/2021"
Boulder County Bike Map Revision,"
								Colorado","
								07/30/2021","
								08/26/2021"
Upper Madison Avenue Sidewalk Improvement Project,"
								New York","
								07/30/2021","
								08/20/2021"
Stone Wall Rebuild Project,"
								New York","
								07/30/2021","
								08/26/2021"
WORKERS’ COMPENSATION ADMINISTRATION SERVICES,"
								New York","
								07/30/2021","
								08/31/2021"
PORT CHESTER PEDESTRIAN SAFETY ACTION PLAN (PSAP),"
								New York","
								07/30/2021","
								08/20/2021"
ULTRASONIC TRANSIT TIME CLAMP-ON FLOW MEASURING SYSTEM,"
								Florida","
								07/30/2021","
								08/16/2021"
Electronic Citations,"
								Colorado","
								07/30/2021","
								08/19/2021"
Common Threads Public Art Project Re-Bid,"
								Colorado","
								07/30/2021","
								08/17/2021"
"Water: Meter Replacement Evaluation, Leak Detection, and Rate Study","
								Illinois","
								07/30/2021","
								08/20/2021"
Graphic Design Services & Destination Marketing Services Resolicitation,"
								New Mexico","
								07/30/2021","
								08/24/2021"
Landfill Surface Emission Monitoring,"
								New York","
								07/30/2021","
								08/25/2021"
ONGOING AND AS NEEDED ANCHOR SCIENTIFIC DEVICE BALL FLOATS,"
								Florida","
								07/30/2021","
								08/16/2021"
Elizabeth Park Concessions Bldg Renovation,"
								Michigan","
								07/30/2021","
								08/31/2021"
FY21 Sanitary Sewer Condition Assessment,"
								Georgia","
								07/30/2021","
								09/09/2021"
FY21 Water Reclamation Facility Low Voltage Variable Frequency Drive Replacement,"
								Georgia","
								07/30/2021","
								08/26/2021"
Garage Door Installation Re-Bid,"
								New Jersey","
								07/30/2021","
								08/17/2021"
Lower Boulder Creek Restoration,"
								Colorado","
								07/29/2021","
								08/26/2021"
Region 2 Non-Project Specific Surveying and Right of Way Engineering Services,"
								Colorado","
								07/29/2021","
								08/19/2021"
EXTERNAL AUDITOR SERVICES,"
								Colorado","
								07/29/2021","
								08/27/2021"
Weed Control,"
								Arizona","
								07/29/2021","
								08/25/2021"
Drain Cleaning and Mechanical Vegetation Management,"
								Arizona","
								07/29/2021","
								08/25/2021"
AS NEEDED MAILING SERVICES,"
								Florida","
								07/29/2021","
								08/24/2021"
"Wireless Communications Facilities Supporting Public Safety, CBRS & Wifi","
								Colorado","
								07/29/2021","
								09/10/2021"
"Irrigation/Landscape Contractors for Irrigation System Maint., Repair, & Upgrade","
								Colorado","
								07/29/2021","
								08/24/2021"
Enterprise Resource Planning & Student Information Systems Consulting Services,"
								Colorado","
								07/29/2021","
								08/23/2021"
Request for Proposals for Paper and Office Supplies,"
								Michigan","
								07/29/2021","
								08/19/2021"
Nutrition Program,"
								New York","
								07/29/2021","
								08/17/2021"
DRCFA FFE RFP No. 2 - Cleaning Equipment,"
								Michigan","
								07/29/2021","
								08/19/2021"
DRONE KITS,"
								New York","
								07/29/2021","
								08/17/2021"
WESLEY CHAPEL LIBRARY,"
								Florida","
								07/29/2021","
								09/14/2021"
MEMBRANE DISC DIFFUSERS,"
								New York","
								07/29/2021","
								08/17/2021"
Construction Bid - Steinway Community Library,"
								New York","
								07/29/2021","
								08/31/2021"
Providence Park Restrooms,"
								Georgia","
								07/29/2021","
								09/01/2021"
Janitorial Services,"
								Michigan","
								07/29/2021","
								09/03/2021"
Lone Ranger Fuels Mitigation,"
								Colorado","
								07/29/2021","
								08/23/2021"
2021 Motor Control Centers Replacement,"
								Michigan","
								07/29/2021","
								08/24/2021"
"Upskilling, Reskilling, and Next-skilling Workers Grant","
								Colorado","
								07/29/2021","
								09/03/2021"
Point of Sale System,"
								Colorado","
								07/29/2021","
								08/26/2021"
Veterinary Technology Farm Utility Vehicle,"
								Colorado","
								07/29/2021","
								08/19/2021"
Exterior Repairs Warner Mansion,"
								Michigan","
								07/29/2021","
								08/29/2021"
County Road 16 Maintenance Project,"
								New York","
								07/29/2021","
								08/19/2021"
District Student Data Warehouse and Dashboard Solution,"
								Rhode Island","
								07/29/2021","
								09/01/2021"
Health Department Space Study - REISSUE,"
								Michigan","
								07/29/2021","
								08/18/2021"
"Structural Steel Shapes, Stainless Steel & Aluminum","
								New York","
								07/29/2021","
								08/18/2021"
"Liquid Chlorine, 150 LB Cylinders","
								Florida","
								07/29/2021","
								08/31/2021"
CSP 21-024 Green Waste Collection Bags,"
								Texas","
								07/29/2021","
								08/19/2021"
Job Order Contracting Consulting Services,"
								New York","
								07/29/2021","
								08/25/2021"
Replacement of Traffic Signal at Pelham Road,"
								New York","
								07/29/2021","
								08/25/2021"
Pickup Truck,"
								Rhode Island","
								07/29/2021","
								08/16/2021"
Janitorial Supplies and Equipment,"
								Georgia","
								07/29/2021","
								08/30/2021"
Printing Services for News Aurora Newsletter Insert,"
								Colorado","
								07/29/2021","
								08/16/2021"
Main St & Huguenot St Traffic Signal Replacement,"
								New York","
								07/29/2021","
								08/25/2021"
Audio Visual Services for Denton Commencement,"
								Texas","
								07/29/2021","
								08/25/2021"
Low Zone Tank Painting Inspection Services,"
								Colorado","
								07/29/2021","
								08/27/2021"
ACTUARIAL SERVICES FOR ULSTER COUNTY SELF-INSURANCE PLAN,"
								New York","
								07/29/2021","
								08/27/2021"
Tree and High Dead Branch Removal,"
								New York","
								07/29/2021","
								08/18/2021"
Furnish Cationic Polymers – Oak Orchard WWTP and Brewerton WPCP as Specified,"
								New York","
								07/29/2021","
								09/16/2021"
IFB 2021-B12 Countywide Dumpsters,"
								Texas","
								07/29/2021","
								08/19/2021"
Hamlet Bathhouse and Ocean Rescue Facility,"
								North Carolina","
								07/29/2021","
								08/18/2021"
ANNUAL REQUIREMENTS CONTRACT - CALCIUM CARBONATE,"
								New York","
								07/29/2021","
								08/16/2021"
ANNUAL REQUIREMENTS CONTRACT - LIGHTING,"
								New York","
								07/29/2021","
								08/18/2021"
RESPONSE PATROL VESSEL,"
								New York","
								07/29/2021","
								08/18/2021"
Medium Voltage Transformers with Switchboard,"
								Colorado","
								07/28/2021","
								08/23/2021"
FLYR5 PRV Vault Improvements,"
								Colorado","
								07/28/2021","
								08/25/2021"
Aspen Airport Terminal Carpet Purchase,"
								Colorado","
								07/28/2021","
								08/17/2021"
External Evaluator for the Evaluation of Early Literacy Curricula,"
								Colorado","
								07/28/2021","
								08/17/2021"
INMATE FOOD SERVICES,"
								Colorado","
								07/28/2021","
								08/20/2021"
INMATE LAUNDRY SERVICES,"
								Colorado","
								07/28/2021","
								08/20/2021"
Municipal Building South Parking Lot Replacement,"
								Colorado","
								07/28/2021","
								08/26/2021"
Covid19 Research Demonstration Third Party Measurement and Verification Services,"
								Colorado","
								07/28/2021","
								08/20/2021"
Mercury Analyzer,"
								Colorado","
								07/28/2021","
								08/20/2021"
SEWAGE BAR SCREEN REPLACEMENT PARTS,"
								New York","
								07/28/2021","
								08/19/2021"
Brys Park ADA Playground and Restroom Renovation,"
								Michigan","
								07/28/2021","
								08/24/2021"
Cisco SMARTnet Renewal (2021-2023),"
								Rhode Island","
								07/28/2021","
								08/18/2021"
UPGRADES TO THE ELECTRICAL SYSTEM AT 1513 MARTIN LUTHER KING BLVD.,"
								Michigan","
								07/28/2021","
								08/16/2021"
,,,
STRIP AND REPLACE ROOF AND GUTTERS AT 1513 MARTIN LUTHER KING BLVD.,"
								Michigan","
								07/28/2021","
								08/16/2021"
"FUEL ISLAND TESTING, MAINTENANCE AND REPAIR","
								Florida","
								07/28/2021","
								08/17/2021"
Aspen Airport Operations Center Elevator Replacement Services,"
								Colorado","
								07/28/2021","
								08/23/2021"
Carpet Cleaning Services,"
								Michigan","
								07/28/2021","
								08/24/2021"
On-Call Cedar Roof Cleaning,"
								Michigan","
								07/28/2021","
								08/18/2021"
Painting of Stripes on County Roads,"
								New York","
								07/28/2021","
								08/18/2021"
RFP-22-07-004 Internet Content Filter Solution,"
								Colorado","
								07/28/2021","
								08/25/2021"
Pre-Employment Personality Assessment Testing,"
								Michigan","
								07/28/2021","
								08/25/2021"
Municipal Advisory Services,"
								Colorado","
								07/28/2021","
								08/19/2021"
Manager of Event Corporate Development,"
								New York","
								07/28/2021","
								08/25/2021"
Bread and Baked Goods,"
								New York","
								07/28/2021","
								08/20/2021"
Tourism Strategic Plan with Destination Development Recommendations,"
								Florida","
								07/28/2021","
								09/01/2021"
Farm to School Produce,"
								Colorado","
								07/28/2021","
								08/17/2021"
Pershing Drive Bikeway Project,"
								California","
								07/27/2021","
								09/08/2021"
Prospect Park - Phase 2 Construction,"
								Colorado","
								07/27/2021","
								09/07/2021"
Comprehensive Plan Update,"
								Colorado","
								07/27/2021","
								08/30/2021"
DC and UPS System,"
								Colorado","
								07/27/2021","
								08/19/2021"
Town Hall Repairs,"
								Colorado","
								07/27/2021","
								08/26/2021"
On Call Professional Services - Storm Pipe Lining Services,"
								Georgia","
								07/27/2021","
								08/24/2021"
ANIMAL CONTROL ADDITION,"
								South Carolina","
								07/27/2021","
								08/19/2021"
General Landscaping & Lawn Care Services for Countywide Facilities,"
								Georgia","
								07/27/2021","
								08/30/2021"
SHOOTING RANGE BUILDING,"
								South Carolina","
								07/27/2021","
								08/19/2021"
Lake Erie Dredging Permit,"
								Michigan","
								07/27/2021","
								08/16/2021"
Abatement and Demolition Environmental Services for Fitzsimons Barracks,"
								Colorado","
								07/27/2021","
								08/16/2021"
CARMEL WATER DISTRICT NO. 2 WATER MAIN LINING PROJECT,"
								New York","
								07/27/2021","
								08/30/2021"
ENGINEERING SERVICES TO DESIGN PLANS FOR A HIGHWAY GARAGE AND SALT STORAGE FACIL,"
								New York","
								07/27/2021","
								08/19/2021"
Water and Wastewater Radio Communications Upgrades,"
								Colorado","
								07/27/2021","
								08/18/2021"
Steamboat Storage Building Contractor,"
								Colorado","
								07/27/2021","
								08/23/2021"
457 Plan Investment Advisory and Consulting Services,"
								California","
								07/27/2021","
								09/06/2021"
BALLISTIC RESISTANCE POLICE BODY ARMOR,"
								Rhode Island","
								07/27/2021","
								08/25/2021"
"ONGOING AND AS-NEEDED AUTOMOTIVE BODY REPAIR, BUSES","
								Florida","
								07/27/2021","
								08/17/2021"
RFP 21-0019 Drug Testing,"
								Texas","
								07/27/2021","
								08/25/2021"
Gun Range Comprehensive Plan,"
								Colorado","
								07/27/2021","
								08/19/2021"
SEL Screener RFP,"
								Colorado","
								07/27/2021","
								08/18/2021"
Replace Roofing - Pueblo Nature Center Gift Shop,"
								Colorado","
								07/27/2021","
								09/01/2021"
Municipal Advisor - (3) Years,"
								Michigan","
								07/27/2021","
								08/16/2021"
Rescue Service Billing Administrator,"
								Rhode Island","
								07/27/2021","
								08/27/2021"
Bank Vault Door Removal,"
								Colorado","
								07/27/2021","
								08/27/2021"
WEST MICHIGAN AIRPORT AUTHORITY CUSTODIAL SERVICES RFP,"
								Michigan","
								07/27/2021","
								08/26/2021"
Sanitary Sewer Televising and Cured-In-Place-Pipe (CIPP) Lining Project,"
								Michigan","
								07/27/2021","
								08/31/2021"
WEST MICHIGAN AIRPORT AUTHORITY LANDSCAPING SERVICES RFP,"
								Michigan","
								07/27/2021","
								08/26/2021"
Culinary Linens,"
								Florida","
								07/27/2021","
								08/17/2021"
Laundering & Linen Services for The Valley View Center for Nursing Care & Rehab,"
								New York","
								07/27/2021","
								08/18/2021"
Electric Distribution IDIQ IFB,"
								Texas","
								07/27/2021","
								08/19/2021"
Sidewalk Improvements at Various Locations,"
								New York","
								07/27/2021","
								08/18/2021"
COMPREHENSIVE FIRE & SECURITY ALARM SYSTEM MONITORING AND EQUIPMENT MAINTENANCE,"
								Florida","
								07/27/2021","
								08/17/2021"
2021 SANITARY SEWER CLEANING AND CCTV INVESTIGATION,"
								Michigan","
								07/27/2021","
								08/17/2021"
Pump and Motor Repair for Water/Wastewater IDIQ,"
								Texas","
								07/27/2021","
								08/19/2021"
Water Line Materials,"
								New York","
								07/27/2021","
								08/19/2021"
Roof Replacement Elmira Fire Station No 3,"
								New York","
								07/27/2021","
								08/17/2021"
"Overhead Garage Door Inspection, Repairs and Installation","
								New York","
								07/27/2021","
								08/19/2021"
2021-2022 Student Transport – 2 Routes,"
								New York","
								07/27/2021","
								08/20/2021"
Welding Equipment for Career & Technical Education Programs 2,"
								New York","
								07/27/2021","
								08/18/2021"
RTB #2 Screw Pump Replacement Project Bid #22-0825,"
								Michigan","
								07/27/2021","
								08/25/2021"
One (1) Year's Requirements of MDOT Spec 23A Limestone,"
								Michigan","
								07/27/2021","
								08/19/2021"
County Office Building Streetscape,"
								New York","
								07/27/2021","
								08/19/2021"
DEN On-Call Architectural and Planning Design,"
								Colorado","
								07/26/2021","
								08/27/2021"
Exterior Home Renovations,"
								Michigan","
								07/26/2021","
								08/16/2021"
Lawful Intercept Mediation and Management System Solution,"
								Colorado","
								07/26/2021","
								08/27/2021"
Design Services for St. Vrain Greenway Trail Phase 13,"
								Colorado","
								07/26/2021","
								09/01/2021"
University of Wyoming: Travel Management,"
								Wyoming","
								07/26/2021","
								09/03/2021"
"Fire Protection Maintenance, Repair, Testing and Inspections","
								Colorado","
								07/26/2021","
								08/16/2021"
Auditing Services,"
								Colorado","
								07/26/2021","
								08/20/2021"
Grease & Scum Removal,"
								Colorado","
								07/26/2021","
								09/23/2021"
General Contractor - SP Shelled Space,"
								Colorado","
								07/26/2021","
								08/17/2021"
AS NEEDED REGULAR AND FIBER-REINFORCED READY MIX CONCRETE MULTI-YEAR AWARD,"
								Florida","
								07/26/2021","
								08/17/2021"
Jetter Parts,"
								Georgia","
								07/26/2021","
								08/23/2021"
Continuing Professional Services for Pasco County Solid Waste and Resource...,"
								Florida","
								07/26/2021","
								09/14/2021"
ADVERTISEMENT FOR BID-SHADES/BLINDS,"
								New York","
								07/26/2021","
								08/17/2021"
Main Pump Station Upgrade Project,"
								New York","
								07/26/2021","
								09/09/2021"
Andy Murphy Midtown Neighborhood Center Rooftop Solar Project,"
								New York","
								07/26/2021","
								08/18/2021"
UPS PREVENTIVE MAINTENANCE,"
								New York","
								07/26/2021","
								08/19/2021"
Ann Arbor Vision Zero Action Plan,"
								Michigan","
								07/26/2021","
								08/25/2021"
Paper Products & Cleaning Supplies for School Cafeterias,"
								Florida","
								07/26/2021","
								08/16/2021"
Supply Riprap Erosion Control and Sidewalk Repair,"
								Florida","
								07/26/2021","
								08/25/2021"
